
[검색조건]
지점명 : 광주, 기간 : 20200101 ~ 20240305
일자,기온(°C),풍속(km/h),체감온도(°C)
2024-02-21,5.2,10.4,2.8
2024-02-22,4.6,13,1.6
2024-02-23,3.5,13.7,0.1
2024-02-24,1.9,9.7,-1
2024-02-25,1.7,9,-1
2024-02-26,0.6,4.7,-0.8
2024-02-27,2.4,7.9,0.1
2024-02-28,1.7,6.5,-0.3
2024-02-29,4.3,5.4,3.1
2024-03-01,-3.6,9.4,-7.4
2024-03-02,-5.1,9.7,-9.3
2024-03-03,1.9,5.4,0.4
2024-03-04,3.3,3.6,2.8
2024-03-05,5.2,19.1,1.4
